District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
MEADE ,,,,,,,,,,,,,,81,83,87,86,88,90,90,,,,,,,,,,,,,,94.4,,
MENIFEE ,,,,,,,,,,,,,,74,76,83,91,85,86,80,,,,,,,,,,,,,,89,,
MERCER ,,,,,,,,,,,,,,94,92,95,94,93,86,94,,,,,,,,,,,,,,93.8,,
METCALFE ,,,,,,,,,,,,,,73,88,88,88,89,84,82,,,,,,,,,,,,,,91.2,,
MIDDLESBORO,,,,,,,,,,,,,,67,74,77,61,73,77,81,,,,,,,,,,,,,,91.1,,
MONROE ,,,,,,,,,,,,,,84,88,85,87,86,90,91,,,,,,,,,,,,,,95.2,,
MONTGOMERY ,,,,,,,,,,,,,,79,84,87,83,85,82,81,,,,,,,,,,,,,,89.8,,
MONTICELLO,,,,,,,,,,,,,,81,80,74,93,87,85,84,,,,,,,,,,,,,,,,
MORGAN ,,,,,,,,,,,,,,78,83,77,80,84,85,87,,,,,,,,,,,,,,99.3,,
MUHLENBERG ,,,,,,,,,,,,,,83,85,88,87,88,88,84,,,,,,,,,,,,,,85.9,,
MURRAY,,,,,,,,,,,,,,99,97,96,97,96,94,93,,,,,,,,,,,,,,95.7,,
NELSON ,,,,,,,,,,,,,,87,89,89,89,89,96,94,,,,,,,,,,,,,,96.1,,
NEWPORT,,,,,,,,,,,,,,87,82,83,85,81,89,73,,,,,,,,,,,,,,88.8,,
NICHOLAS ,,,,,,,,,,,,,,85,84,84,85,82,84,82,,,,,,,,,,,,,,93.4,,
OHIO ,,,,,,,,,,,,,,89,86,90,86,91,91,87,,,,,,,,,,,,,,92.8,,
OLDHAM ,,,,,,,,,,,,,,93,92,94,95,96,94,95,,,,,,,,,,,,,,97.3,,
OWEN ,,,,,,,,,,,,,,74,76,75,76,82,90,89,,,,,,,,,,,,,,94.3,,
OWENSBORO,,,,,,,,,,,,,,84,89,90,87,84,85,83,,,,,,,,,,,,,,86.2,,
OWSLEY ,,,,,,,,,,,,,,79,74,83,88,87,86,88,,,,,,,,,,,,,,79.7,,
PADUCAH,,,,,,,,,,,,,,70,74,77,79,78,86,87,,,,,,,,,,,,,,86.6,,
