AVERAGE CLASSROOM TEACHER SALARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-90 THROUGH 2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist No,District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
135,CRITTENDEN ,"$24,034 ","$26,748 ","$28,210 ","$28,174 ","$28,937 ","$30,094 ","$29,913 ","$31,072 ","$31,941 ","$33,185 ","$35,267 ","$36,107 ","$38,062 ","$38,198","$39,243","$39,646 ","$40,988 ","$41,577 ","$45,249","$46,055","$46,368 ","$45,365 ","$44,505","$45,410","$44,581","$44,916","$45,862 ","$45,941 ","$46,176","$45,864","$46,509","$47,991","$49,448","$50,894","$51,935","$52,496"
141,CUMBERLAND ,"$24,743 ","$26,646 ","$28,040 ","$28,431 ","$28,713 ","$30,058 ","$31,291 ","$32,402 ","$33,174 ","$34,043 ","$34,850 ","$34,778 ","$35,394 ","$36,614","$38,648","$39,975 ","$41,294 ","$41,785 ","$45,650","$46,756","$47,395 ","$46,127 ","$45,581","$45,757","$44,805","$44,376","$46,180 ","$46,198 ","$45,523","$45,564","$45,666","$45,303","$46,643","$48,000","$50,294","$52,914"
143,DANVILLE,"$27,022 ","$30,280 ","$31,533 ","$31,565 ","$32,008 ","$31,637 ","$32,233 ","$33,086 ","$33,978 ","$34,882 ","$35,011 ","$35,554 ","$37,841 ","$38,383","$39,850","$41,078 ","$41,015 ","$41,249 ","$44,697","$45,323","$46,489 ","$46,277 ","$45,358","$46,728","$47,426","$47,945","$49,955 ","$49,611 ","$50,642","$50,811","$50,883","$52,131","$51,911","$55,000","$55,064","$57,326"
145,DAVIESS ,"$27,905 ","$30,584 ","$31,674 ","$31,624 ","$32,119 ","$33,055 ","$33,076 ","$33,631 ","$34,051 ","$34,863 ","$35,865 ","$36,731 ","$39,032 ","$40,601","$42,056","$42,948 ","$44,333 ","$45,487 ","$49,353","$49,965","$50,751 ","$49,774 ","$49,869","$50,367","$50,541","$50,816","$52,278 ","$52,206 ","$52,810","$53,690","$54,292","$55,045","$55,105","$57,163","$58,459","$60,849"
146,DAWSON SPGS,"$25,466 ","$27,260 ","$28,975 ","$29,288 ","$30,435 ","$31,180 ","$31,234 ","$32,551 ","$34,455 ","$35,528 ","$34,832 ","$36,421 ","$36,339 ","$38,003","$40,282","$40,662 ","$40,732 ","$42,239 ","$45,804","$46,414","$47,202 ","$46,698 ","$47,117","$45,284","$46,191","$45,701","$47,032 ","$45,961 ","$45,900","$45,545","$45,599","$46,599","$44,532","$44,829","$48,578","$48,790"
147,DAYTON,"$24,920 ","$27,665 ","$29,088 ","$30,328 ","$31,225 ","$31,745 ","$33,319 ","$34,222 ","$35,967 ","$37,354 ","$38,395 ","$39,940 ","$40,152 ","$41,361","$41,993","$42,975 ","$44,501 ","$46,092 ","$49,050","$50,446","$50,536 ","$47,453 ","$47,150","$47,837","$49,346","$49,053","$49,279 ","$48,577 ","$48,797","$47,783","$49,894","$52,619","$54,725","$55,636","$57,286","$60,563"
149,E BERNSTADT,"$24,465 ","$27,631 ","$29,355 ","$29,884 ","$30,351 ","$31,736 ","$33,275 ","$34,544 ","$34,993 ","$38,647 ","$36,782 ","$36,161 ","$37,614 ","$39,339","$41,074","$43,546 ","$44,482 ","$46,570 ","$50,335","$51,116","$52,633 ","$52,615 ","$52,190","$50,516","$51,251","$52,437","$53,438 ","$52,481 ","$51,798","$51,030","$49,968","$51,784","$51,274","$53,712","$55,544","$57,060"
151,EDMONSON ,"$24,386 ","$26,752 ","$28,749 ","$29,110 ","$29,499 ","$30,689 ","$31,634 ","$32,387 ","$32,808 ","$33,834 ","$34,414 ","$35,611 ","$36,862 ","$37,298","$38,601","$39,866 ","$41,798 ","$42,745 ","$47,525","$47,750","$48,458 ","$48,410 ","$48,096","$47,663","$48,205","$48,238","$49,338 ","$49,551 ","$49,040","$49,051","$49,195","$49,873","$49,583","$49,499","$50,545","$50,720"
152,ELIZABETHTOWN,"$27,064 ","$29,389 ","$31,058 ","$30,369 ","$31,534 ","$32,782 ","$33,045 ","$33,067 ","$33,618 ","$34,327 ","$34,897 ","$36,142 ","$38,308 ","$39,234","$40,298","$42,653 ","$44,301 ","$46,342 ","$50,436","$51,228","$51,177 ","$49,632 ","$50,879","$50,921","$51,374","$51,489","$52,373 ","$53,466 ","$54,214","$54,980","$55,006","$55,785","$56,081","$55,947","$57,427","$60,341"
155,ELLIOTT ,"$23,417 ","$25,924 ","$28,373 ","$27,348 ","$28,259 ","$29,639 ","$29,738 ","$31,303 ","$33,087 ","$33,547 ","$33,361 ","$34,548 ","$35,467 ","$36,331","$37,481","$39,052 ","$39,571 ","$39,965 ","$42,915","$43,813","$44,111 ","$43,450 ","$44,143","$44,716","$45,195","$45,823","$45,951 ","$46,514 ","$45,119","$44,985","$44,759","$46,557","$46,358","$45,822","$46,731","$47,065"
